,a,b,c,d
1094,"Omen, The (1976)",3.388235294117647,"Omen, The (1976)",85.0
1095,On Golden Pond (1981),3.5566037735849063,On Golden Pond (1981),106.0
1096,Once Upon a Time in America (1984),3.4,Once Upon a Time in America (1984),50.0
1097,Once Upon a Time in the West (1969),3.8684210526315783,Once Upon a Time in the West (1969),38.0
1098,Once Upon a Time... When We Were Colored (1995),3.2857142857142856,Once Upon a Time... When We Were Colored (1995),28.0
1099,Once Were Warriors (1994),4.064516129032258,Once Were Warriors (1994),31.0
1100,One Fine Day (1996),3.2321428571428568,One Fine Day (1996),112.0
1101,One Flew Over the Cuckoo's Nest (1975),4.291666666666667,One Flew Over the Cuckoo's Nest (1975),264.0
1102,One Night Stand (1997),3.466666666666667,One Night Stand (1997),15.0
1103,Only You (1994),3.1538461538461537,Only You (1994),39.0
1104,Open Season (1996),2.5,Open Season (1996),2.0
1105,Operation Dumbo Drop (1995),2.5161290322580645,Operation Dumbo Drop (1995),31.0
1106,Original Gangstas (1996),2.142857142857143,Original Gangstas (1996),7.0
1107,Orlando (1993),3.6176470588235294,Orlando (1993),34.0
1108,Oscar & Lucinda (1997),3.1904761904761907,Oscar & Lucinda (1997),21.0
1109,Othello (1995),3.611111111111111,Othello (1995),72.0
1110,"Other Voices, Other Rooms (1997)",3.0,"Other Voices, Other Rooms (1997)",1.0
1111,Out to Sea (1997),2.6842105263157894,Out to Sea (1997),19.0
1112,Outbreak (1995),3.2403846153846154,Outbreak (1995),104.0
1113,"Outlaw, The (1943)",2.5,"Outlaw, The (1943)",2.0
1114,"Pagemaster, The (1994)",2.25,"Pagemaster, The (1994)",12.0
1115,"Pallbearer, The (1996)",2.3181818181818183,"Pallbearer, The (1996)",22.0
1116,Palmetto (1998),3.1428571428571432,Palmetto (1998),14.0
1117,Palookaville (1996),2.9230769230769234,Palookaville (1996),13.0
1118,Panther (1995),2.4,Panther (1995),5.0
1119,"Paper, The (1994)",3.225,"Paper, The (1994)",40.0
1120,Paradise Lost: The Child Murders at Robin Hood Hills (1996),4.05,Paradise Lost: The Child Murders at Robin Hood Hills (1996),20.0
1121,Paradise Road (1997),3.2857142857142856,Paradise Road (1997),7.0
1122,"Parent Trap, The (1961)",3.095890410958904,"Parent Trap, The (1961)",73.0
1123,Paris Is Burning (1990),3.814814814814815,Paris Is Burning (1990),27.0
1124,Paris Was a Woman (1995),3.0,Paris Was a Woman (1995),1.0
1125,"Paris, France (1993)",2.333333333333333,"Paris, France (1993)",3.0
1126,"Paris, Texas (1984)",3.5434782608695654,"Paris, Texas (1984)",46.0
1127,Party Girl (1995),2.875,Party Girl (1995),16.0
1128,Passion Fish (1992),3.1785714285714284,Passion Fish (1992),28.0
1129,Pather Panchali (1955),4.625,Pather Panchali (1955),8.0
1130,Paths of Glory (1957),4.212121212121212,Paths of Glory (1957),33.0
1131,Patton (1970),3.9926470588235294,Patton (1970),136.0
1132,"Peacemaker, The (1997)",3.272058823529412,"Peacemaker, The (1997)",136.0
1133,Penny Serenade (1941),3.0,Penny Serenade (1941),8.0
1134,"People vs. Larry Flynt, The (1996)",3.5953488372093023,"People vs. Larry Flynt, The (1996)",215.0
1135,"Perez Family, The (1995)",2.642857142857143,"Perez Family, The (1995)",14.0
1136,"Perfect Candidate, A (1996)",4.0,"Perfect Candidate, A (1996)",4.0
1137,"Perfect World, A (1993)",3.68,"Perfect World, A (1993)",50.0
1138,Persuasion (1995),4.045454545454546,Persuasion (1995),44.0
1139,"Pest, The (1997)",1.875,"Pest, The (1997)",8.0
1140,Pete's Dragon (1977),2.7209302325581395,Pete's Dragon (1977),43.0
1141,"Phantom, The (1996)",2.575,"Phantom, The (1996)",80.0
1142,Phantoms (1998),2.230769230769231,Phantoms (1998),13.0
1143,Pharaoh's Army (1995),1.0,Pharaoh's Army (1995),1.0
1144,Phat Beach (1996),1.6,Phat Beach (1996),5.0
1145,Phenomenon (1996),3.557377049180328,Phenomenon (1996),244.0
1146,Philadelphia (1993),3.854014598540146,Philadelphia (1993),137.0
1147,"Philadelphia Story, The (1940)",4.115384615384615,"Philadelphia Story, The (1940)",104.0
1148,"Piano, The (1993)",3.6011904761904763,"Piano, The (1993)",168.0
1149,Picnic (1955),3.611111111111111,Picnic (1955),18.0
1150,Picture Bride (1995),3.1,Picture Bride (1995),10.0
1151,Picture Perfect (1997),2.962962962962963,Picture Perfect (1997),81.0
1152,Pie in the Sky (1995),2.0,Pie in the Sky (1995),4.0
1153,"Pillow Book, The (1995)",3.692307692307693,"Pillow Book, The (1995)",26.0
1154,Pink Floyd - The Wall (1982),3.3508771929824563,Pink Floyd - The Wall (1982),114.0
1155,Pinocchio (1940),3.6732673267326734,Pinocchio (1940),101.0
1156,Platoon (1986),3.692913385826772,Platoon (1986),127.0
1157,Playing God (1997),2.627906976744186,Playing God (1997),43.0
1158,Pocahontas (1995),2.5294117647058822,Pocahontas (1995),51.0
1159,Poetic Justice (1993),2.7777777777777777,Poetic Justice (1993),9.0
1160,Poison Ivy II (1995),2.1538461538461537,Poison Ivy II (1995),13.0
1161,Police Story 4: Project S (Chao ji ji hua) (1993),1.0,Police Story 4: Project S (Chao ji ji hua) (1993),1.0
1162,Pollyanna (1960),3.1481481481481484,Pollyanna (1960),27.0
1163,"Pompatus of Love, The (1996)",3.0,"Pompatus of Love, The (1996)",7.0
1164,Ponette (1996),3.3,Ponette (1996),10.0
1165,"Portrait of a Lady, The (1996)",2.68,"Portrait of a Lady, The (1996)",25.0
1166,"Postino, Il (1994)",3.9672131147540974,"Postino, Il (1994)",183.0
1167,"Postman, The (1997)",3.2241379310344827,"Postman, The (1997)",58.0
1168,Powder (1995),3.208333333333333,Powder (1995),48.0
1169,Power 98 (1995),1.0,Power 98 (1995),1.0
1170,"Preacher's Wife, The (1996)",2.9264705882352944,"Preacher's Wife, The (1996)",68.0
1171,Prefontaine (1997),5.0,Prefontaine (1997),3.0
1172,Pretty Woman (1990),3.3231707317073167,Pretty Woman (1990),164.0
1173,"Price Above Rubies, A (1998)",3.333333333333333,"Price Above Rubies, A (1998)",3.0
1174,Priest (1994),4.0,Priest (1994),40.0
1175,Primal Fear (1996),3.6011235955056184,Primal Fear (1996),178.0
1176,Primary Colors (1998),3.9230769230769234,Primary Colors (1998),13.0
1177,"Princess Bride, The (1987)",4.1728395061728385,"Princess Bride, The (1987)",324.0
1178,Princess Caraboo (1994),3.1333333333333333,Princess Caraboo (1994),15.0
1179,Prisoner of the Mountains (Kavkazsky Plennik) (1996),3.0,Prisoner of the Mountains (Kavkazsky Plennik) (1996),5.0
1180,Private Benjamin (1980),2.955223880597015,Private Benjamin (1980),67.0
1181,Private Parts (1997),3.53,Private Parts (1997),100.0
1182,"Professional, The (1994)",3.704697986577181,"Professional, The (1994)",149.0
1183,"Program, The (1993)",2.838709677419355,"Program, The (1993)",31.0
1184,"Promesse, La (1996)",3.333333333333333,"Promesse, La (1996)",6.0
1185,"Promise, The (Versprechen, Das) (1994)",1.0,"Promise, The (Versprechen, Das) (1994)",1.0
1186,"Prophecy II, The (1998)",2.7,"Prophecy II, The (1998)",20.0
1187,"Prophecy, The (1995)",2.9375,"Prophecy, The (1995)",32.0
1188,Psycho (1960),4.100418410041842,Psycho (1960),239.0
1189,Pulp Fiction (1994),4.060913705583757,Pulp Fiction (1994),394.0
1190,Pump Up the Volume (1990),3.4177215189873418,Pump Up the Volume (1990),79.0
1191,Purple Noon (1960),3.1428571428571432,Purple Noon (1960),7.0
1192,Pushing Hands (1992),2.0,Pushing Hands (1992),2.0
1193,"Pyromaniac's Love Story, A (1995)",2.4285714285714284,"Pyromaniac's Love Story, A (1995)",7.0
1194,Quartier Mozart (1992),1.0,Quartier Mozart (1992),1.0
1195,"Queen Margot (Reine Margot, La) (1994)",3.5,"Queen Margot (Reine Margot, La) (1994)",24.0
1196,"Quest, The (1996)",2.5185185185185186,"Quest, The (1996)",27.0
1197,"Quick and the Dead, The (1995)",3.208333333333333,"Quick and the Dead, The (1995)",48.0
1198,"Quiet Man, The (1952)",4.029850746268656,"Quiet Man, The (1952)",67.0
1199,"Quiet Room, The (1996)",3.6666666666666665,"Quiet Room, The (1996)",3.0
1200,Quiz Show (1994),3.645714285714286,Quiz Show (1994),175.0
1201,Race the Sun (1996),2.8,Race the Sun (1996),5.0
1202,Radioland Murders (1994),3.333333333333333,Radioland Murders (1994),12.0
1203,Raging Bull (1980),4.120689655172414,Raging Bull (1980),116.0
1204,Raiders of the Lost Ark (1981),4.2523809523809515,Raiders of the Lost Ark (1981),420.0
1205,"Rainmaker, The (1997)",3.6,"Rainmaker, The (1997)",145.0
1206,Raise the Red Lantern (1991),4.155172413793103,Raise the Red Lantern (1991),58.0
1207,Raising Arizona (1987),3.875,Raising Arizona (1987),256.0
1208,Ran (1985),4.1,Ran (1985),70.0
1209,Ransom (1996),3.644194756554307,Ransom (1996),267.0
1210,Raw Deal (1948),2.0,Raw Deal (1948),1.0
1211,Ready to Wear (Pret-A-Porter) (1994),1.8333333333333333,Ready to Wear (Pret-A-Porter) (1994),18.0
1212,Real Genius (1985),3.6638655462184873,Real Genius (1985),119.0
1213,Reality Bites (1994),2.9610389610389616,Reality Bites (1994),77.0
1214,Rear Window (1954),4.3875598086124405,Rear Window (1954),209.0
1215,Rebecca (1940),3.9696969696969697,Rebecca (1940),66.0
1216,Rebel Without a Cause (1955),3.855555555555556,Rebel Without a Cause (1955),90.0
1217,Reckless (1995),2.75,Reckless (1995),8.0
1218,Red Corner (1997),3.3859649122807016,Red Corner (1997),57.0
1219,"Red Firecracker, Green Firecracker (1994)",3.4615384615384617,"Red Firecracker, Green Firecracker (1994)",13.0
1220,Red Rock West (1992),3.5961538461538463,Red Rock West (1992),52.0
1221,"Ref, The (1994)",3.034482758620689,"Ref, The (1994)",58.0
1222,Relative Fear (1994),1.6666666666666667,Relative Fear (1994),3.0
1223,"Relic, The (1997)",2.88,"Relic, The (1997)",25.0
1224,"Reluctant Debutante, The (1958)",3.0,"Reluctant Debutante, The (1958)",1.0
1225,"Remains of the Day, The (1993)",3.94,"Remains of the Day, The (1993)",150.0
1226,Renaissance Man (1994),3.0,Renaissance Man (1994),43.0
1227,"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",3.333333333333333,"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",3.0
1228,Rent-a-Kid (1995),3.0,Rent-a-Kid (1995),8.0
1229,"Replacement Killers, The (1998)",3.3076923076923075,"Replacement Killers, The (1998)",39.0
1230,Reservoir Dogs (1992),3.9864864864864864,Reservoir Dogs (1992),148.0
1231,Restoration (1995),3.4647887323943665,Restoration (1995),71.0
1232,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",3.772727272727273,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",44.0
1233,Return of the Jedi (1983),4.007889546351085,Return of the Jedi (1983),507.0
1234,"Return of the Pink Panther, The (1974)",3.5543478260869565,"Return of the Pink Panther, The (1974)",92.0
1235,Rhyme & Reason (1997),2.2,Rhyme & Reason (1997),5.0
1236,"Rich Man's Wife, The (1996)",2.4,"Rich Man's Wife, The (1996)",15.0
1237,Richard III (1995),3.831460674157303,Richard III (1995),89.0
1238,Richie Rich (1994),2.4285714285714284,Richie Rich (1994),21.0
1239,Ridicule (1996),3.704545454545455,Ridicule (1996),44.0
1240,"Right Stuff, The (1983)",3.917197452229299,"Right Stuff, The (1983)",157.0
1241,Ripe (1996),2.0,Ripe (1996),1.0
1242,Rising Sun (1993),2.9069767441860463,Rising Sun (1993),43.0
1243,"River Wild, The (1994)",3.1438356164383565,"River Wild, The (1994)",146.0
1244,"Road to Wellville, The (1994)",2.294117647058824,"Road to Wellville, The (1994)",17.0
1245,Rob Roy (1995),3.565217391304348,Rob Roy (1995),92.0
1246,Robert A. Heinlein's The Puppet Masters (1994),3.0,Robert A. Heinlein's The Puppet Masters (1994),18.0
1247,Robin Hood: Men in Tights (1993),2.5892857142857144,Robin Hood: Men in Tights (1993),56.0
1248,Robin Hood: Prince of Thieves (1991),3.2266666666666666,Robin Hood: Prince of Thieves (1991),75.0
1249,Robocop 3 (1993),1.7272727272727273,Robocop 3 (1993),11.0
1250,"Rock, The (1996)",3.693121693121693,"Rock, The (1996)",378.0
1251,Rocket Man (1997),2.4081632653061225,Rocket Man (1997),49.0
1252,Roman Holiday (1953),4.102941176470588,Roman Holiday (1953),68.0
1253,Romeo Is Bleeding (1993),3.0,Romeo Is Bleeding (1993),37.0
1254,Romper Stomper (1992),3.0,Romper Stomper (1992),5.0
1255,Romy and Michele's High School Reunion (1997),3.0612244897959178,Romy and Michele's High School Reunion (1997),98.0
1256,"Room with a View, A (1986)",3.985074626865672,"Room with a View, A (1986)",134.0
1257,Roommates (1995),3.2307692307692313,Roommates (1995),13.0
1258,Roseanna's Grave (For Roseanna) (1997),2.8,Roseanna's Grave (For Roseanna) (1997),5.0
1259,Rosencrantz and Guildenstern Are Dead (1990),3.888888888888889,Rosencrantz and Guildenstern Are Dead (1990),90.0
1260,Rosewood (1997),3.6666666666666665,Rosewood (1997),114.0
1261,Rough Magic (1995),2.5,Rough Magic (1995),2.0
1262,Ruby in Paradise (1993),3.1304347826086962,Ruby in Paradise (1993),23.0
1263,Rudy (1993),3.3125,Rudy (1993),64.0
1264,"Ruling Class, The (1972)",3.875,"Ruling Class, The (1972)",16.0
1265,Rumble in the Bronx (1995),3.4482758620689653,Rumble in the Bronx (1995),174.0
1266,"Run of the Country, The (1995)",3.25,"Run of the Country, The (1995)",4.0
1267,S.F.W. (1994),3.0,S.F.W. (1994),2.0
1268,Sabrina (1954),3.796875,Sabrina (1954),64.0
1269,Sabrina (1995),3.5,Sabrina (1995),190.0
1270,Safe (1995),4.0,Safe (1995),13.0
1271,Safe Passage (1994),3.0,Safe Passage (1994),2.0
1272,"Saint of Fort Washington, The (1993)",5.0,"Saint of Fort Washington, The (1993)",2.0
1273,"Saint, The (1997)",3.123417721518988,"Saint, The (1997)",316.0
1274,Salut cousin! (1996),2.0,Salut cousin! (1996),2.0
1275,"Santa Clause, The (1994)",3.097560975609756,"Santa Clause, The (1994)",82.0
1276,Santa with Muscles (1996),5.0,Santa with Muscles (1996),2.0
1277,"Savage Nights (Nuits fauves, Les) (1992)",3.0,"Savage Nights (Nuits fauves, Les) (1992)",3.0
1278,"Scarlet Letter, The (1926)",3.0,"Scarlet Letter, The (1926)",2.0
1279,"Scarlet Letter, The (1995)",2.4,"Scarlet Letter, The (1995)",5.0
1280,Schindler's List (1993),4.466442953020135,Schindler's List (1993),298.0
1281,Schizopolis (1996),3.0,Schizopolis (1996),4.0
1282,"Scout, The (1994)",2.6666666666666665,"Scout, The (1994)",12.0
1283,Scream (1996),3.44142259414226,Scream (1996),478.0
1284,Scream 2 (1997),3.2169811320754715,Scream 2 (1997),106.0
1285,Scream of Stone (Schrei aus Stein) (1991),3.0,Scream of Stone (Schrei aus Stein) (1991),1.0
1286,Screamers (1995),2.652173913043478,Screamers (1995),46.0
1287,"Search for One-eye Jimmy, The (1996)",2.6666666666666665,"Search for One-eye Jimmy, The (1996)",3.0
1288,Searching for Bobby Fischer (1993),3.9057971014492754,Searching for Bobby Fischer (1993),138.0
1289,"Second Jungle Book: Mowgli & Baloo, The (1997)",2.0,"Second Jungle Book: Mowgli & Baloo, The (1997)",6.0
1290,"Secret Adventures of Tom Thumb, The (1993)",2.6,"Secret Adventures of Tom Thumb, The (1993)",5.0
1291,"Secret Agent, The (1996)",3.0,"Secret Agent, The (1996)",6.0
1292,"Secret Garden, The (1993)",3.5443037974683542,"Secret Garden, The (1993)",79.0
1293,"Secret of Roan Inish, The (1994)",3.859154929577465,"Secret of Roan Inish, The (1994)",71.0
1294,Secrets & Lies (1996),4.265432098765432,Secrets & Lies (1996),162.0
1295,Selena (1997),3.625,Selena (1997),16.0
1296,Sense and Sensibility (1995),4.0111940298507465,Sense and Sensibility (1995),268.0
1297,Senseless (1998),2.4285714285714284,Senseless (1998),7.0
1298,Serial Mom (1994),2.814814814814815,Serial Mom (1994),54.0
1299,Set It Off (1996),3.421052631578948,Set It Off (1996),19.0
1300,Seven (Se7en) (1995),3.8474576271186436,Seven (Se7en) (1995),236.0
1301,Seven Years in Tibet (1997),3.4580645161290318,Seven Years in Tibet (1997),155.0
1302,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",3.5416666666666665,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",72.0
1303,"Sex, Lies, and Videotape (1989)",3.4752475247524752,"Sex, Lies, and Videotape (1989)",101.0
1304,"Sexual Life of the Belgians, The (1994)",1.5,"Sexual Life of the Belgians, The (1994)",2.0
1305,Sgt. Bilko (1996),2.5675675675675675,Sgt. Bilko (1996),74.0
1306,Shadow Conspiracy (1997),2.863636363636364,Shadow Conspiracy (1997),44.0
1307,Shadow of Angels (Schatten der Engel) (1976),1.0,Shadow of Angels (Schatten der Engel) (1976),1.0
1308,"Shadow, The (1994)",2.888888888888889,"Shadow, The (1994)",45.0
1309,Shadowlands (1993),3.935897435897436,Shadowlands (1993),78.0
1310,Shadows (Cienie) (1988),1.0,Shadows (Cienie) (1988),1.0
1311,"Shaggy Dog, The (1959)",3.0,"Shaggy Dog, The (1959)",30.0
1312,Shall We Dance? (1937),3.7058823529411766,Shall We Dance? (1937),17.0
1313,Shall We Dance? (1996),4.260869565217392,Shall We Dance? (1996),46.0
1314,Shallow Grave (1994),3.8181818181818175,Shallow Grave (1994),66.0
1315,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5769230769230766,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),26.0
1316,"Shawshank Redemption, The (1994)",4.445229681978798,"Shawshank Redemption, The (1994)",283.0
1317,She's So Lovely (1997),2.7358490566037736,She's So Lovely (1997),53.0
1318,She's the One (1996),3.0136986301369864,She's the One (1996),73.0
1319,Shiloh (1997),2.833333333333333,Shiloh (1997),12.0
1320,Shine (1996),3.922480620155039,Shine (1996),129.0
1321,"Shining, The (1980)",3.825242718446602,"Shining, The (1980)",206.0
1322,"Shooter, The (1995)",2.6666666666666665,"Shooter, The (1995)",3.0
1323,Shooting Fish (1997),2.5,Shooting Fish (1997),10.0
1324,Shopping (1994),2.0,Shopping (1994),1.0
1325,Short Cuts (1993),3.776119402985074,Short Cuts (1993),67.0
1326,"Show, The (1995)",3.0,"Show, The (1995)",2.0
1327,Showgirls (1995),1.9565217391304348,Showgirls (1995),23.0
1328,"Silence of the Lambs, The (1991)",4.28974358974359,"Silence of the Lambs, The (1991)",390.0
1329,"Silence of the Palace, The (Saimt el Qusur) (1994)",3.0,"Silence of the Palace, The (Saimt el Qusur) (1994)",1.0
1330,"Simple Twist of Fate, A (1994)",3.2,"Simple Twist of Fate, A (1994)",10.0
1331,"Simple Wish, A (1997)",1.6666666666666667,"Simple Wish, A (1997)",3.0
1332,Singin' in the Rain (1952),3.992700729927008,Singin' in the Rain (1952),137.0
1333,Sirens (1994),2.983050847457627,Sirens (1994),59.0
1334,Six Degrees of Separation (1993),3.77027027027027,Six Degrees of Separation (1993),74.0
1335,"Sixth Man, The (1997)",3.2222222222222223,"Sixth Man, The (1997)",9.0
1336,Sleeper (1973),3.634146341463415,Sleeper (1973),82.0
1337,Sleepers (1996),3.5147928994082838,Sleepers (1996),169.0
1338,Sleepless in Seattle (1993),3.539906103286385,Sleepless in Seattle (1993),213.0
1339,Sleepover (1995),3.0,Sleepover (1995),1.0
1340,Sliding Doors (1998),2.6,Sliding Doors (1998),5.0
1341,Sling Blade (1996),4.198529411764706,Sling Blade (1996),136.0
1342,"Slingshot, The (1993)",3.5,"Slingshot, The (1993)",2.0
1343,Sliver (1993),2.4054054054054053,Sliver (1993),37.0
1344,Small Faces (1995),2.0,Small Faces (1995),1.0
1345,"Smile Like Yours, A (1997)",2.88,"Smile Like Yours, A (1997)",25.0
1346,Smilla's Sense of Snow (1997),3.1666666666666665,Smilla's Sense of Snow (1997),48.0
1347,Smoke (1995),3.6216216216216215,Smoke (1995),74.0
1348,Sneakers (1992),3.513333333333333,Sneakers (1992),150.0
1349,Snow White and the Seven Dwarfs (1937),3.7093023255813953,Snow White and the Seven Dwarfs (1937),172.0
1350,So Dear to My Heart (1949),3.25,So Dear to My Heart (1949),4.0
1351,So I Married an Axe Murderer (1993),3.0526315789473686,So I Married an Axe Murderer (1993),95.0
1352,Solo (1996),1.8333333333333333,Solo (1996),12.0
1353,Some Folks Call It a Sling Blade (1993),4.2926829268292686,Some Folks Call It a Sling Blade (1993),41.0
1354,Some Kind of Wonderful (1987),3.6610169491525424,Some Kind of Wonderful (1987),59.0
1355,Some Like It Hot (1959),3.984375,Some Like It Hot (1959),128.0
1356,Some Mother's Son (1996),4.5,Some Mother's Son (1996),2.0
1357,Somebody to Love (1994),1.0,Somebody to Love (1994),2.0
1358,Someone Else's America (1995),5.0,Someone Else's America (1995),1.0
1359,Something to Talk About (1995),2.769230769230769,Something to Talk About (1995),26.0
1360,Somewhere in Time (1980),3.4268292682926833,Somewhere in Time (1980),82.0
1361,Son in Law (1993),2.4871794871794872,Son in Law (1993),39.0
1362,Sophie's Choice (1982),3.896551724137931,Sophie's Choice (1982),58.0
1363,Soul Food (1997),3.1694915254237284,Soul Food (1997),59.0
1364,"Sound of Music, The (1965)",3.765765765765766,"Sound of Music, The (1965)",222.0
1365,Space Jam (1996),2.7741935483870965,Space Jam (1996),93.0
1366,"Spanish Prisoner, The (1997)",4.0,"Spanish Prisoner, The (1997)",1.0
1367,Spanking the Monkey (1994),3.0740740740740735,Spanking the Monkey (1994),27.0
1368,Spawn (1997),2.6153846153846154,Spawn (1997),143.0
1369,"Specialist, The (1994)",2.25,"Specialist, The (1994)",20.0
1370,Species (1995),2.8666666666666667,Species (1995),45.0
1371,Speechless (1994),3.083333333333333,Speechless (1994),36.0
1372,Speed (1994),3.6478260869565218,Speed (1994),230.0
1373,Speed 2: Cruise Control (1997),2.131578947368421,Speed 2: Cruise Control (1997),38.0
1374,Spellbound (1945),3.933333333333333,Spellbound (1945),30.0
1375,Sphere (1998),2.9268292682926833,Sphere (1998),41.0
1376,Spice World (1997),2.1153846153846154,Spice World (1997),26.0
1377,Spirits of the Dead (Tre passi nel delirio) (1968),2.5,Spirits of the Dead (Tre passi nel delirio) (1968),2.0
1378,"Spitfire Grill, The (1996)",3.8041237113402064,"Spitfire Grill, The (1996)",97.0
1379,Sprung (1997),2.0,Sprung (1997),3.0
1380,Spy Hard (1996),2.511627906976744,Spy Hard (1996),43.0
1381,Squeeze (1996),1.6666666666666667,Squeeze (1996),3.0
1382,Stag (1997),2.1111111111111107,Stag (1997),9.0
1383,Stalingrad (1993),3.1666666666666665,Stalingrad (1993),12.0
1384,Stalker (1979),3.5454545454545454,Stalker (1979),11.0
1385,Stand by Me (1986),3.8810572687224667,Stand by Me (1986),227.0
1386,Star Kid (1997),5.0,Star Kid (1997),3.0
1387,"Star Maker, The (Uomo delle stelle, L') (1995)",3.1666666666666665,"Star Maker, The (Uomo delle stelle, L') (1995)",12.0
1388,Star Maps (1997),3.0526315789473686,Star Maps (1997),19.0
1389,Star Trek III: The Search for Spock (1984),3.111111111111111,Star Trek III: The Search for Spock (1984),171.0
1390,Star Trek IV: The Voyage Home (1986),3.4472361809045227,Star Trek IV: The Voyage Home (1986),199.0
1391,Star Trek V: The Final Frontier (1989),2.3968253968253967,Star Trek V: The Final Frontier (1989),63.0
1392,Star Trek VI: The Undiscovered Country (1991),3.279503105590062,Star Trek VI: The Undiscovered Country (1991),161.0
1393,Star Trek: First Contact (1996),3.6602739726027407,Star Trek: First Contact (1996),365.0
1394,Star Trek: Generations (1994),3.3362068965517233,Star Trek: Generations (1994),116.0
1395,Star Trek: The Motion Picture (1979),3.034188034188034,Star Trek: The Motion Picture (1979),117.0
1396,Star Trek: The Wrath of Khan (1982),3.8155737704918034,Star Trek: The Wrath of Khan (1982),244.0
1397,Star Wars (1977),4.359589041095891,Star Wars (1977),584.0
1398,Stargate (1994),3.141732283464567,Stargate (1994),127.0
1399,"Stars Fell on Henrietta, The (1995)",2.333333333333333,"Stars Fell on Henrietta, The (1995)",3.0
1400,Starship Troopers (1997),3.2322274881516586,Starship Troopers (1997),211.0
1401,"Steal Big, Steal Little (1995)",2.571428571428572,"Steal Big, Steal Little (1995)",7.0
1402,Stealing Beauty (1996),3.375,Stealing Beauty (1996),64.0
1403,Steel (1997),2.1578947368421053,Steel (1997),19.0
1404,Stefano Quantestorie (1993),1.0,Stefano Quantestorie (1993),1.0
1405,Stephen King's The Langoliers (1995),2.413793103448276,Stephen King's The Langoliers (1995),29.0
1406,"Sting, The (1973)",4.058091286307054,"Sting, The (1973)",241.0
1407,Stonewall (1995),4.2,Stonewall (1995),5.0
1408,"Story of Xinghua, The (1993)",3.2,"Story of Xinghua, The (1993)",5.0
1409,Strange Days (1995),3.2643678160919536,Strange Days (1995),87.0
1410,Stranger in the House (1997),2.4285714285714284,Stranger in the House (1997),7.0
1411,"Stranger, The (1994)",3.0,"Stranger, The (1994)",3.0
1412,Strawberry and Chocolate (Fresa y chocolate) (1993),3.272727272727273,Strawberry and Chocolate (Fresa y chocolate) (1993),11.0
1413,Street Fighter (1994),2.75,Street Fighter (1994),8.0
1414,"Streetcar Named Desire, A (1951)",3.8163265306122454,"Streetcar Named Desire, A (1951)",98.0
1415,Strictly Ballroom (1992),4.028846153846153,Strictly Ballroom (1992),104.0
1416,Striking Distance (1993),2.583333333333333,Striking Distance (1993),12.0
1417,Stripes (1981),3.8,Stripes (1981),5.0
1418,Striptease (1996),2.238805970149253,Striptease (1996),67.0
1419,Stuart Saves His Family (1995),2.125,Stuart Saves His Family (1995),16.0
1420,"Stupids, The (1996)",2.0,"Stupids, The (1996)",17.0
1421,SubUrbia (1997),3.6666666666666665,SubUrbia (1997),12.0
1422,"Substance of Fire, The (1996)",3.25,"Substance of Fire, The (1996)",4.0
1423,"Substitute, The (1996)",2.6938775510204085,"Substitute, The (1996)",49.0
1424,Sudden Death (1995),2.723404255319149,Sudden Death (1995),47.0
1425,Sudden Manhattan (1996),1.5,Sudden Manhattan (1996),2.0
1426,"Sum of Us, The (1994)",3.5454545454545454,"Sum of Us, The (1994)",11.0
1427,"Sunchaser, The (1996)",3.0,"Sunchaser, The (1996)",1.0
1428,Sunset Blvd. (1950),4.2,Sunset Blvd. (1950),65.0
1429,Sunset Park (1996),2.5,Sunset Park (1996),8.0
1430,Super Mario Bros. (1993),2.0769230769230766,Super Mario Bros. (1993),26.0
1431,Supercop (1992),3.5384615384615383,Supercop (1992),65.0
1432,Surviving Picasso (1996),3.1052631578947367,Surviving Picasso (1996),19.0
1433,Surviving the Game (1994),2.4545454545454546,Surviving the Game (1994),11.0
1434,Suture (1993),2.25,Suture (1993),4.0
1435,"Swan Princess, The (1994)",2.8571428571428568,"Swan Princess, The (1994)",7.0
1436,"Sweet Hereafter, The (1997)",3.772727272727273,"Sweet Hereafter, The (1997)",44.0
1437,Sweet Nothing (1995),3.0,Sweet Nothing (1995),1.0
1438,Swept from the Sea (1997),2.4285714285714284,Swept from the Sea (1997),7.0
1439,Swimming with Sharks (1995),3.5744680851063837,Swimming with Sharks (1995),47.0
1440,Swingers (1996),3.828025477707006,Swingers (1996),157.0
1441,Swiss Family Robinson (1960),3.358974358974359,Swiss Family Robinson (1960),39.0
1442,Switchback (1997),2.8235294117647056,Switchback (1997),17.0
1443,Switchblade Sisters (1975),3.2307692307692313,Switchblade Sisters (1975),13.0
1444,"Sword in the Stone, The (1963)",3.3292682926829267,"Sword in the Stone, The (1963)",82.0
1445,"Symphonie pastorale, La (1946)",1.0,"Symphonie pastorale, La (1946)",1.0
1446,T-Men (1947),1.0,T-Men (1947),1.0
